Versão	 OS	  Data  	GIT HASH
v1.1.1	4721	30/05/2016	b9adae4
v1.1.2	4721	06/06/2016	cf65a9e
v1.1.3	4721	09/06/2016	a9d8a91
v1.1.4	4721	13/06/2016	7c1b0f1
v1.1.5	4721	20/07/2016	fb97c84
v1.2.1	4757	20/07/2016	fb97c84
v1.3.1	4776	25/08/2016	2564374
v1.4.1	4777	25/08/2016	4fa211a
v1.4.2	4721	31/08/2016	7b920b9
v1.5.1	4782	09/09/2016	2ef7911
v1.6.1	4810	09/09/2016	6332746
v1.6.2	4757	26/09/2016	2be59d0
v1.6.3	4777	28/09/2016	1f34de9
v1.6.4	4777	04/10/2016	0ae3748
v1.6.5	4782	14/10/2016	cc293f0
v1.6.6	4782	17/10/2016	84f9bc7
v1.6.7	4782	17/10/2016	c9082a3
v1.7.1	4797	31/10/2016	32fb61a
v1.7.2	4797	03/11/2016	8c4588d
